stock_code,market,tag,tag_type,confidence,is_primary,source,evidence,evidence_url,updated_at,review_status,review_note
02926,HK,待人工确认,industry,0.2,False,nan+local_taxonomy+local_taxonomy+local_taxonomy;local_registry_enrichment,industry registry marked as unclassified,,2026-06-06T05:58:26.482622,pending,
02943,HK,待人工确认,industry,0.2,False,nan+local_taxonomy+local_taxonomy+local_taxonomy;local_registry_enrichment,industry registry marked as unclassified,,2026-06-06T05:58:26.482862,pending,
08276,HK,待人工确认,industry,0.2,False,nan+local_taxonomy+local_taxonomy+local_taxonomy;local_registry_enrichment,industry registry marked as unclassified,,2026-06-06T05:58:26.521223,pending,
08598,HK,待人工确认,industry,0.2,False,nan+local_taxonomy+local_taxonomy+local_taxonomy;local_registry_enrichment,industry registry marked as unclassified,,2026-06-06T05:58:26.528138,pending,
08600,HK,待人工确认,industry,0.2,False,nan+local_taxonomy+local_taxonomy+local_taxonomy;local_registry_enrichment,industry registry marked as unclassified,,2026-06-06T05:58:26.528164,pending,
01208,HK,黄金,resource,0.7,False,deepseek_browser_evidence,公司业务包括勘探、开发和开采金矿床，Rosebery矿也生产金。,https://hk.stockstar.com/hshare/01208,2026-06-03T10:49:17.685996,pending,黄金是公司开采的金属之一，但非核心产品，证据强度中等。
01208,HK,白银,resource,0.7,False,deepseek_browser_evidence,公司业务包括勘探、开发和开采银矿床，Khoemacau矿也生产银。,https://hk.stockstar.com/hshare/01208,2026-06-03T10:49:17.686006,pending,白银是公司开采的金属之一，但非核心产品，证据强度中等。
01208,HK,钴,resource,0.6,False,deepseek_browser_evidence,公司业务包括勘探、开发和开采钴矿床。,https://hk.stockstar.com/hshare/01208,2026-06-03T10:49:17.686014,pending,钴是公司开采的金属之一，但非主要产品，证据强度一般。
01208,HK,铝,resource,0.5,False,deepseek_browser_evidence,公司业务包括生产氧化铝及制造和分销铝产品。,https://xueqiu.com/S/01208/time?page=64,2026-06-03T10:49:17.686022,pending,铝相关业务存在，但非核心采矿业务，证据强度一般。
01208,HK,高杠杆,style,0.7,False,deepseek_browser_evidence,公司此前处于相对高杠杆状态，近年通过降杠杆转向稳健现金牛。,https://xueqiu.com/S/01208/time?page=64,2026-06-03T10:49:17.686047,pending,历史高杠杆，但当前正在降杠杆，证据强度中等。
01208,HK,高负债,risk,0.7,False,deepseek_browser_evidence,公司此前处于相对高杠杆状态，近年通过降杠杆改善。,https://xueqiu.com/S/01208/time?page=64,2026-06-03T10:49:17.686068,pending,历史高负债，但当前正在改善，证据强度中等。
01208,HK,汇率敏感,risk,0.6,False,deepseek_browser_evidence,公司业务涉及多个国家，收入以美元计价，但成本可能涉及其他货币，存在汇率风险。,https://xueqiu.com/S/01208/time?page=64,2026-06-03T10:49:17.686075,pending,公司有海外业务，但证据未明确提及汇率敏感度，强度一般。
00003,HK,绿色电力,theme,0.7,False,deepseek_browser_evidence,可再生能源业务,https://basic.10jqka.com.cn/176/HK0003/operate.html,2026-06-04T17:42:59.546747,pending,可再生能源业务可对应绿电，但未具体说明发电类型，置信度中等
00003,HK,防御,style,0.5,False,deepseek_browser_evidence,中国香港公用业务在稳健的基础上,https://basic.10jqka.com.cn/HK0003/,2026-06-04T17:42:59.546771,pending,公用事业属性且提及稳健，但无更直接现金流或防守特征描述，低置信度
00001,HK,航运,business,0.6,False,deepseek_browser_evidence,惟因市场运费下跌导致一航运业务联营公司表现未如理想而部分抵销。,https://webcontent.megahubhk.com/Web/MorganFG/sc/Fundamental/CompProfile?stock_id=1,2026-06-04T17:42:59.546815,pending,公司通过联营公司涉足航运业务，虽非主营业态，但有相关风险敞口。
00008,HK,全球业务,geo,0.55,False,deepseek_browser_evidence,我们运用跨行业专业知识、环球基础设施和数码投资业务。,https://1083.pccw.com/staticfiles/PCCWCorpsite/About%20PCCW/Investor%20Relations/Announcements%20&%20Notices/2025/Apr/c01_PCCW%202024%20Annual%20Report.pdf,2026-06-04T17:42:59.546939,pending,年报提及环球基础设施，暗示可能存在海外业务，但未披露具体收入分布，尚需更多细节确认。
00019,HK,物业运营,value_chain,0.7,False,deepseek_browser_evidence,地产部门收益增长港币十六亿一千三百万元,https://basic.10jqka.com.cn/HK0019/business.html,2026-06-04T17:42:59.547163,pending,太古地产作为商业地产业主，涉及物业管理与运营，但收入主要为租金
00019,HK,蓝筹,style,0.9,False,deepseek_browser_evidence,太古股份公司A为恒指成分股,,2026-06-04T17:42:59.547177,pending,公司为香港蓝筹股
00019,HK,中国内地,geo,0.8,False,deepseek_browser_evidence,太古地产在内地有项目，太古可口可乐覆盖内地,https://basic.10jqka.com.cn/HK0019/business.html,2026-06-04T17:42:59.547197,pending,饮料和地产部门均有内地业务
00019,HK,全球业务,geo,0.7,False,deepseek_browser_evidence,航空业务为全球性运营，饮料业务覆盖多个地区,https://basic.10jqka.com.cn/HK0019/business.html,2026-06-04T17:42:59.547205,pending,业务遍布全球，以航空和饮料为国际化
00023,HK,香港本地,geo,0.5,False,deepseek_browser_evidence,其他分部涵盖信托服务及香港后勤支援,https://hk.stockstar.com/hshare/00023,2026-06-04T17:42:59.547267,pending,证据显示香港后勤支援，暗示本地业务，但未明确为主要收入来源地区
