tag,tag_type,canonical_tag,aliases,description,parent_tag,active,updated_at
AI,theme,AI,人工智能;AIGC;大模型;Agent,AI related exposure,科技,True,2026-06-04T05:58:00.396166
大模型,theme,大模型,LLM;基础模型;生成式AI,大模型 related exposure,AI,True,2026-06-04T05:58:00.396180
AI应用,theme,AI应用,AI软件;智能应用,AI应用 related exposure,AI,True,2026-06-04T05:58:00.396186
AI医疗,theme,AI医疗,医疗AI;智能诊断,AI医疗 related exposure,AI,True,2026-06-04T05:58:00.396190
机器人,theme,机器人,人形机器人;工业机器人,机器人 related exposure,先进制造,True,2026-06-04T05:58:00.396194
自动驾驶,theme,自动驾驶,智能驾驶;ADAS,自动驾驶 related exposure,汽车科技,True,2026-06-04T05:58:00.396198
token,theme,token,代币;Web3,token related exposure,数字资产,True,2026-06-04T05:58:00.396201
稳定币,theme,稳定币,stablecoin;支付型代币,稳定币 related exposure,token,True,2026-06-04T05:58:00.396205
RWA,theme,RWA,现实资产代币化;资产上链,RWA related exposure,token,True,2026-06-04T05:58:00.396209
Web3,theme,Web3,区块链;去中心化,Web3 related exposure,数字资产,True,2026-06-04T05:58:00.396213
创新药,theme,创新药,生物药;新药研发,创新药 related exposure,医药,True,2026-06-04T05:58:00.396216
CXO,theme,CXO,CRO;CDMO;CMO,CXO related exposure,医药,True,2026-06-04T05:58:00.396222
医疗器械,theme,医疗器械,高值耗材;诊断设备,医疗器械 related exposure,医药,True,2026-06-04T05:58:00.396225
半导体,theme,半导体,芯片;集成电路,半导体 related exposure,科技,True,2026-06-04T05:58:00.396228
光模块,theme,光模块,光通信模块;高速光模块,光模块 related exposure,算力,True,2026-06-04T05:58:00.396232
低空经济,theme,低空经济,eVTOL;无人机,低空经济 related exposure,先进制造,True,2026-06-04T05:58:00.396236
新能源车,theme,新能源车,电动车;智能电动车,新能源车 related exposure,汽车,True,2026-06-04T05:58:00.396239
储能,theme,储能,电化学储能;储能系统,储能 related exposure,新能源,True,2026-06-04T05:58:00.396242
中特估,theme,中特估,央国企重估;中国特色估值,中特估 related exposure,风格,True,2026-06-04T05:58:00.396246
国企改革,theme,国企改革,央企改革;国资改革,国企改革 related exposure,风格,True,2026-06-04T05:58:00.396249
一带一路,theme,一带一路,海外基建;出海工程,一带一路 related exposure,政策,True,2026-06-04T05:58:00.396252
消费复苏,theme,消费复苏,可选消费复苏;线下消费,消费复苏 related exposure,消费,True,2026-06-04T05:58:00.396255
银发经济,theme,银发经济,养老服务;老龄化,银发经济 related exposure,消费,True,2026-06-04T05:58:00.396258
体育产业,theme,体育产业,运动消费;赛事经济,体育产业 related exposure,消费,True,2026-06-04T05:58:00.396261
教育科技,theme,教育科技,在线教育;职业教育,教育科技 related exposure,教育,True,2026-06-04T05:58:00.396264
云计算,theme,云计算,云平台;云基础设施,云计算 related exposure,科技,True,2026-06-04T05:58:00.396268
SaaS,theme,SaaS,企业软件;订阅软件,SaaS related exposure,软件,True,2026-06-04T05:58:00.396271
网络安全,theme,网络安全,信息安全;数据安全,网络安全 related exposure,软件,True,2026-06-04T05:58:00.396274
数据要素,theme,数据要素,数据资产;数据交易,数据要素 related exposure,数字经济,True,2026-06-04T05:58:00.396278
智能制造,theme,智能制造,工业互联网;数字工厂,智能制造 related exposure,先进制造,True,2026-06-04T05:58:00.396281
绿色电力,theme,绿色电力,绿电;可再生能源,绿色电力 related exposure,新能源,True,2026-06-04T05:58:00.396284
碳中和,theme,碳中和,减碳;双碳,碳中和 related exposure,新能源,True,2026-06-04T05:58:00.396287
核电,theme,核电,核能;核电运营,核电 related exposure,能源,True,2026-06-04T05:58:00.396291
氢能,theme,氢能,燃料电池;绿氢,氢能 related exposure,新能源,True,2026-06-04T05:58:00.396294
出海,theme,出海,海外扩张;国际化,出海 related exposure,全球化,True,2026-06-04T05:58:00.396297
铜,resource,铜,铜矿;铜资源;铜金属,铜 related exposure,资源材料,True,2026-06-04T05:58:00.396301
铁矿,resource,铁矿,铁矿石;铁矿资源,铁矿 related exposure,资源材料,True,2026-06-04T05:58:00.396304
黄金,resource,黄金,金矿;贵金属,黄金 related exposure,资源材料,True,2026-06-04T05:58:00.396307
煤炭,resource,煤炭,动力煤;焦煤,煤炭 related exposure,能源,True,2026-06-04T05:58:00.396310
原油,resource,原油,石油;油气,原油 related exposure,能源,True,2026-06-04T05:58:00.396313
天然气,resource,天然气,燃气;LNG,天然气 related exposure,能源,True,2026-06-04T05:58:00.396316
