node_id,node_type,name,canonical_name,properties_json,source,confidence,updated_at
concept:KNOWLEDGE ATLAS,concept,KNOWLEDGE ATLAS,KNOWLEDGE ATLAS,"{""description"": ""KNOWLEDGE ATLAS是与股票代码02513.HK一同出现的标注，可能代表知识图谱概念或智谱公司的相关技术平台。"", ""source_id"": ""doc-0fb260a7589d7c16c051233370004b49-chunk-000"", ""file_path"": ""evidence:02513:ed017f7b8f3c38b0.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
location:HK,location,HK,HK,"{""description"": ""HK指香港，是02513股票上市的金融市场所在地。<SEP>HK代表香港，是智谱股票上市的市场。<SEP>HK代表香港交易所市场，是02513股票的上市地点。<SEP>HK代表香港市场，是智谱股票代码02513的交易地点。<SEP>HK代表香港证券交易所，是智谱公司股票上市的市场。<SEP>股票市场香港的简称，是02513股票的上市地点。<SEP>香港证券市场，是股票代码02513的上市交易地点。"", ""source_id"": ""doc-17b32dcf7738724991c2f427a0eff142-chunk-000<SEP>doc-3bc59d9dd7efdabb5e96d649b2cf7029-chunk-000<SEP>doc-93950896a6b0ceeaf6354962d9632b74-chunk-000<SEP>doc-9da4919957dc304f45e11a62041e9d1c-chunk-000<SEP>doc-676b8171863c25e934e20e27b2e393f0-chunk-000<SEP>doc-06c43f61bb1289107460546360de1b17-chunk-000<SEP>doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000"", ""file_path"": ""evidence:02513:5b66659d0e278f6c.txt<SEP>evidence:02513:5ba523278dfb38a4.txt<SEP>evidence:02513:4a23a57f0cd55f15.txt<SEP>evidence:02513:434e5b846052be06.txt<SEP>evidence:02513:2315e55978c3764d.txt<SEP>evidence:02513:201b1a4e5b38aee0.txt<SEP>evidence:02513:23901e2bb2ed06e1.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
location:香港市场,location,香港市场,香港市场,"{""description"": ""香港市场是02513股票代码上市交易的市场。<SEP>香港市场是智谱AI股票上市交易的市场。"", ""source_id"": ""doc-b4e38788f6345e577d0544273756e626-chunk-000<SEP>doc-28d04bfb177a8df8436828b9a7314fd4-chunk-000"", ""file_path"": ""evidence:02513:a2199ad093dcd419.txt<SEP>evidence:02513:188bbc6c85b01d0b.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
organization:新浪财经,organization,新浪财经,新浪财经,"{""description"": ""新浪财经是一个提供港股实时行情和公司资料等财经信息的网络平台。"", ""source_id"": ""doc-0fb260a7589d7c16c051233370004b49-chunk-000"", ""file_path"": ""evidence:02513:ed017f7b8f3c38b0.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
organization:深圳前瞻资讯股份有限公司,organization,深圳前瞻资讯股份有限公司,深圳前瞻资讯股份有限公司,"{""description"": ""一家成立于1998年的公司，拥有网站stock.qianzhan.com的版权，提供财务报告查询服务。"", ""source_id"": ""doc-06c43f61bb1289107460546360de1b17-chunk-000"", ""file_path"": ""evidence:02513:201b1a4e5b38aee0.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
data:主力资金动向,data,主力资金动向,主力资金动向,"{""description"": ""主力资金动向是智谱的主力资金流动数据，由同花顺金融网解读。"", ""source_id"": ""doc-cb24584fb61d6a7f609e40760cae9f51-chunk-000"", ""file_path"": ""evidence:02513:3925dd1fcacc0749.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
organization:同花顺金融网,organization,同花顺金融网,同花顺金融网,"{""description"": ""同花顺金融网是一个金融信息平台，为智谱提供实时行情数据、基本资料、重大新闻、研究报告、行业资讯、主力资金动向及财务数据等分析服务，供投资决策参考。"", ""source_id"": ""doc-cb24584fb61d6a7f609e40760cae9f51-chunk-000"", ""file_path"": ""evidence:02513:3925dd1fcacc0749.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
content:北京智譜華章科技股份有限公司公告,content,北京智譜華章科技股份有限公司公告,北京智譜華章科技股份有限公司公告,"{""description"": ""北京智譜華章科技股份有限公司刊发的公告文件，日期为2025年12月30日，是文中词汇界定的依据。"", ""source_id"": ""doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000"", ""file_path"": ""evidence:02513:23901e2bb2ed06e1.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
organization:香港聯合交易所有限公司(聯交所),organization,香港聯合交易所有限公司(聯交所),香港聯合交易所有限公司(聯交所),"{""description"": ""香港联合交易所有限公司(联交所)是香港交易所的全资附属公司，负责主板及创业板上市事宜。"", ""source_id"": ""doc-e6bb9546f62c7e78cec5f84032400abb-chunk-000"", ""file_path"": ""evidence:02513:23901e2bb2ed06e1.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.683670
evidence_chunk:6a7f390b3ec2,evidence_chunk,evidence:02513:7cfbd96da05cf3fb.txt,evidence:02513:7cfbd96da05cf3fb.txt,"{""content"": ""STOCK_CODE: 02513\nMARKET: HK\nALIASES: 02513; 智谱\nSOURCE: source_aware_search\nTITLE: query=site:hkexnews.hk 02513 智谱 年报 招股书 主营业务; rank=4; title=披露易 - HKEXnews\nURL: https://sc.hkexnews.hk/TuniS/www.hkexnews.hk/index_c.htm\nFETCHED_AT: 2026-06-06T08:59:09.854054\n\nSUMMARY:\nrank=4; engine=duckduckgo; score=0.5; url=https://sc.hkexnews.hk/TuniS/www.hkexnews.hk/index_c.htm; hash=e8bf723aa776c1e9; snippet=披露易提供上市公司公告、财务报告及其他重要信息。\n\nRAW_TEXT:\n披露易提供上市公司公告、财务报告及其他重要信息。"", ""file_path"": ""evidence:02513:7cfbd96da05cf3fb.txt""}",lightrag_graph,0.65,2026-06-06T16:52:07.683670
evidence_chunk:d3dbf981e95a,evidence_chunk,evidence:02513:5ba523278dfb38a4.txt,evidence:02513:5ba523278dfb38a4.txt,"{""content"": ""STOCK_CODE: 02513\nMARKET: HK\nALIASES: 02513; 智谱\nSOURCE: source_aware_search\nTITLE: query=智谱 智谱 新闻 合作 客户 收入; rank=1; title=冲刺\""全球大模型第一股\""!智谱财务数据曝光_腾讯新闻\nURL: https://news.qq.com/rain/a/20251220A01Z1800\nFETCHED_AT: 2026-06-06T08:59:17.057644\n\nSUMMARY:\nrank=1; engine=duckduckgo; score=1.0; url=https://news.qq.com/rain/a/20251220A01Z1800; hash=a388567f0dd18904; snippet=港交所披露的聆讯后资料集显示，智谱于2022年、2023年、2024年、2025年上半年实现营收5740万元、1.245亿元、3.124亿元、1.9亿元（人民币，下同），2022年至2024年连续三年营收翻倍，复合年增长率达到130%；毛利率分别为54.6%、64.6%、56.3%、50%。 同期，智谱经调整净亏损分别为9740万元、6.21亿元、24.656亿元以及17.52亿元。 智谱称，亏损主要原因在于巨额的研发投入。 同期，智谱研发投入分别为8440万元、5.289亿元、21.954亿元、15.947亿元，累计研发投入约44亿元。\n\nRAW_TEXT:\n港交所披露的聆讯后资料集显示，智谱于2022年、2023年、2024年、2025年上半年实现营收5740万元、1.245亿元、3.124亿元、1.9亿元（人民币，下同），2022年至2024年连续三年营收翻倍，复合年增长率达到130%；毛利率分别为54.6%、64.6%、56.3%、50%。 同期，智谱经调整净亏损分别为9740万元、6.21亿元、24.656亿元以及17.52亿元。 智谱称，亏损主要原因在于巨额的研发投入。 同期，智谱研发投入分别为8440万元、5.289亿元、21.954亿元、15.947亿元，累计研发投入约44亿元。"", ""file_path"": ""evidence:02513:5ba523278dfb38a4.txt""}",lightrag_graph,0.65,2026-06-06T16:52:07.683670
product:Glm技术复盘：21篇论文深度解读智谱模型家族,product,Glm技术复盘：21篇论文深度解读智谱模型家族,Glm技术复盘：21篇论文深度解读智谱模型家族,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.686761
product:备案号Beijing-ChatGLM-20230821,product,备案号Beijing-ChatGLM-20230821,备案号Beijing-ChatGLM-20230821,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.686761
method:CodeGeeX,method,CodeGeeX,CodeGeeX,"{""description"": ""CodeGeeX是智谱AI的高效率代码模型，属于AIGC模型产品矩阵。"", ""source_id"": ""doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000"", ""file_path"": ""evidence:02513:d9f141da7ec3f385.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.702922
content:智谱清言,content,智谱清言,智谱清言,"{""description"": ""智谱清言是智谱AI推出的AI提效助手，属于AIGC模型产品矩阵的一部分。<SEP>智谱清言是智谱推出的端侧智能助手产品。"", ""source_id"": ""doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000<SEP>doc-9da4919957dc304f45e11a62041e9d1c-chunk-000"", ""file_path"": ""evidence:02513:d9f141da7ec3f385.txt<SEP>evidence:02513:434e5b846052be06.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.702922
method:CogView,method,CogView,CogView,"{""description"": ""CogView是智谱AI的文生图模型，属于AIGC模型产品矩阵。"", ""source_id"": ""doc-0326400fcdf73fe5cdbd8616c1a23e13-chunk-000"", ""file_path"": ""evidence:02513:d9f141da7ec3f385.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.702922
entity:MiniMax,entity,MiniMax,MiniMax,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.705283
technology:企业级AI基础设施路线,technology,企业级AI基础设施路线,企业级AI基础设施路线,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.705283
entity:MaaS API平台,entity,MaaS API平台,MaaS API平台,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.705283
technology:Agentic Engineering,technology,Agentic Engineering,Agentic Engineering,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.705283
technology:AI开发新模式,technology,AI开发新模式,AI开发新模式,"{""materialized_from_edge"": true}",lightrag_graph,0.58,2026-06-06T16:52:07.705283
content:智谱首份财报,content,智谱首份财报,智谱首份财报,"{""description"": ""智谱首份财报，标题显示2025年营收翻倍至7亿元，亏损47亿元，涉及大模型业务。<SEP>智谱发布的首次财务报告，其中披露了中国前十大互联网公司中有9家深度调用GLM模型。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000<SEP>doc-159c33f0d797fd0894851a411359df00-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt<SEP>evidence:02513:9bd8dcc71aea1308.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
organization:MiniMax,organization,MiniMax,MiniMax,"{""description"": ""MiniMax是一家AI公司，其优势在于海外化更强，产品化特征更明显。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
concept:全球AI产品公司路线,concept,全球AI产品公司路线,全球AI产品公司路线,"{""description"": ""一种AI公司的发展路线，强调开发全球化的AI产品。"", ""source_id"": ""doc-1e6e26cb9f67d6b1abacdcbf1a3612ef-chunk-000"", ""file_path"": ""evidence:02513:79fc2bd415a0b425.txt""}",lightrag_graph,0.72,2026-06-06T16:52:07.727380
